"","ID","plant_number","sample_type","H","S","J"
"1","1L","plant1","leaf",2.20478541691352,10,0.957526140346302
"2","1R","plant1","root",0.410116318288409,2,0.591672778582327
"3","2L","plant2","leaf",1.47507631105469,5,0.916516443199602
"4","2R","plant2","root",1.21488965394912,4,0.876357639489852
"5","3L","plant3","leaf",1.59416669911802,6,0.88972137527189
"6","3R","plant3","root",1.33217904021012,4,0.960964047443681
"7","4L","plant4","leaf",2.01981499249295,8,0.971325691060918
"8","4R","plant4","root",1.05492016798614,3,0.960229717860761
"9","5L","plant5","leaf",1.56071040904141,5,0.969723899868247
"10","5R","plant5","root",0.796311640173813,3,0.72483409150576
"11","6L","plant6","leaf",1.74786809746676,6,0.975503759006108
"12","6R","plant6","root",1.38629436111989,4,1
